group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
unknown::T1,reflect,100,1.0000,1.0000,3.00,630.0,545.0,85.0,0.000000,0.000000,6.11,6.00,8.00,9.00,103109.66,100,0,100
unknown::T1,task,100,1.0000,1.0000,4.05,1074.3,993.0,81.3,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0
unknown::T2,reflect,100,1.0000,1.0000,3.00,608.0,525.0,83.0,0.000000,0.000000,6.05,6.00,8.00,9.00,100495.87,100,0,100
unknown::T2,task,100,1.0000,1.0000,4.04,1023.5,942.3,81.2,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0
unknown::T3,reflect,100,1.0000,1.0000,3.00,595.0,510.0,85.0,0.000000,0.000000,6.24,6.00,9.00,9.00,95352.56,100,0,100
unknown::T3,task,100,1.0000,1.0000,5.04,1342.4,1254.5,88.0,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0
unknown::T4,reflect,100,1.0000,1.0000,3.00,600.0,515.0,85.0,0.000000,0.000000,6.12,6.00,8.00,9.00,98039.22,100,0,100
unknown::T4,task,100,1.0000,1.0000,4.04,1042.1,963.2,78.8,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0
unknown::T5,task,100,0.0000,0.0000,0.00,0.0,0.0,0.0,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0,0,0
